,method,device1,device2,device3,device4,curvature,$W$,$H$,$L$,$A{_3}$,$A{_1}$,$W$$/$$H$,$A{_2}$$/$$A{_1}$,${\rho}_\mathrm{d}$,${\rho}_\mathrm{c}$,$\mu_\mathrm{d}$,$\mu_\mathrm{c}$,$\gamma$,$\mu_\mathrm{d}$$/$$\mu_\mathrm{c}$,$Q_\mathrm{d}$,$Q_\mathrm{c}$,$u_\mathrm{d}$,$u_\mathrm{c}$,$Q_\mathrm{d}$$/$$Q_\mathrm{c}$,$u_\mathrm{d}$$/$$u_\mathrm{c}$,$\mu_\mathrm{c}$$u_\mathrm{c}$,$d_\mathrm{av}$$/$$d_\mathrm{e}$
18,1.0,0.0,0.0,1.0,0.0,0.0,0.592962,0.304073,0.592962,0.020106193,0.180303734,1.950064623,1.0,980.1,819.1,0.85,6.8,7.55,0.125,25.0,1000.0,0.0207233,0.092436614,0.025,0.224189302,0.628568975,0.4837553990158977
19,1.0,0.0,0.0,1.0,0.0,0.0,0.592962,0.304073,0.592962,0.020106193,0.180303734,1.950064623,1.0,980.1,819.1,0.85,6.8,7.55,0.125,25.0,1200.0,0.0207233,0.110923937,0.020833333,0.186824418,0.754282772,0.4368620471589578
20,1.0,0.0,0.0,1.0,0.0,0.0,0.592962,0.304073,0.592962,0.020106193,0.180303734,1.950064623,1.0,980.1,819.1,0.85,6.8,7.55,0.125,50.0,200.0,0.0414466,0.018487323,0.25,2.241892999,0.125713796,0.9009656820495008
21,1.0,0.0,0.0,1.0,0.0,0.0,0.592962,0.304073,0.592962,0.020106193,0.180303734,1.950064623,1.0,980.1,819.1,0.85,6.8,7.55,0.125,50.0,400.0,0.0414466,0.036974646,0.125,1.120946499,0.251427593,0.6828853282092202
22,1.0,0.0,0.0,1.0,0.0,0.0,0.592962,0.304073,0.592962,0.020106193,0.180303734,1.950064623,1.0,980.1,819.1,0.85,6.8,7.55,0.125,50.0,600.0,0.0414466,0.055461968,0.083333333,0.74729768,0.377141382,0.6354598660119046
23,1.0,0.0,0.0,1.0,0.0,0.0,0.592962,0.304073,0.592962,0.020106193,0.180303734,1.950064623,1.0,980.1,819.1,0.85,6.8,7.55,0.125,50.0,800.0,0.0414466,0.073949291,0.0625,0.560473257,0.502855179,0.5872529895757502
24,1.0,0.0,0.0,1.0,0.0,0.0,0.592962,0.304073,0.592962,0.020106193,0.180303734,1.950064623,1.0,980.1,819.1,0.85,6.8,7.55,0.125,50.0,1000.0,0.0414466,0.092436614,0.05,0.448378605,0.628568975,0.5258480687352313
25,1.0,0.0,0.0,1.0,0.0,0.0,0.592962,0.304073,0.592962,0.020106193,0.180303734,1.950064623,1.0,980.1,819.1,0.85,6.8,7.55,0.125,50.0,1200.0,0.0414466,0.110923937,0.041666667,0.373648836,0.754282772,0.5119123191201649
26,1.0,0.0,0.0,1.0,0.0,0.0,0.583,0.328567,0.583,0.020106193,0.191554561,1.774371742,1.0,653.0,997.0,0.595,0.90107025,5.13,0.660325874,25.0,400.0,0.0207233,0.034802965,0.0625,0.595446394,0.031359916,0.8423049712713444
27,1.0,0.0,0.0,1.0,0.0,0.0,0.583,0.328567,0.583,0.020106193,0.191554561,1.774371742,1.0,653.0,997.0,0.595,0.90107025,5.13,0.660325874,25.0,600.0,0.0207233,0.052204447,0.041666667,0.396964266,0.047039874,0.7376116980059797
